Ticker,Ad,Kategori,TEFAS_Kind,Tur,Risk_Deger,Son_Fiyat,RSI,Ret1M,Ret3M,Ret6M,Ret1Y,Ret3Y,Ret5Y,Vol,YF_Symbol,_tcmb_guncellendi
OHB,OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TEFAS,YAT,Hisse Senedi Şemsiye Fonu,6.0,22.498311,53.4,-4.0981,-4.0054,22.5855,42.096,2.8195,12.3318,33.0,,
OHK,OYAK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TEFAS,YAT,Hisse Senedi Şemsiye Fonu,6.0,2.681677,61.7,4.1624,14.9797,39.1327,54.8112,2.169,0.0,33.0,,
OIL,OSMANLI PORTFÖY ALTIN FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,6.0,3.536201,53.8,-0.7965,-3.7123,18.4414,36.201,151.6636,0.0,33.0,,
OIR,OSMANLI PORTFÖY DENGELİ FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,3.0,4.754033,58.2,1.8788,5.0227,20.3968,49.6268,2.4831,0.0,12.0,,
OJB,QNB PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,51.006576,54.6,2.002,5.059,9.4894,21.5516,151.635,4.9855,18.0,,
OJK,QNB PORTFÖY ALTIN FONU,TEFAS,YAT,Kıymetli Madenler Şemsiye Fonu,6.0,12.156205,55.5,-0.9131,-9.8205,16.3099,58.4681,4.209,0.0,33.0,,
OJT,QNB PORTFÖY TEKNOLOJİ FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,6.0,12.217504,71.2,12.9636,29.39,42.3205,82.4555,4.2625,11.1428,33.0,,
OKD,OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON,TEFAS,YAT,Değişken Şemsiye Fonu,6.0,0.565242,56.3,-1.5244,1.9332,21.7792,48.4125,3.224,10.2458,33.0,,
OKP,OYAK PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,TEFAS,YAT,Borçlanma Araçları Şemsiye Fonu,2.0,6.009894,59.3,2.9742,9.4183,20.1232,48.1843,2.3841,3.7928,7.0,,
OKT,OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,TEFAS,YAT,Borçlanma Araçları Şemsiye Fonu,3.0,0.152003,59.3,3.0904,9.6772,20.2834,47.856,2.4066,4.1045,12.0,,
